Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.33,120.67,594.67,542.59,18.96
20.26,105.9,594.66,583.93,38.22
20.06,110.0,577.97,523.88,38.59
20.8,129.99,512.5,543.46,27.14
20.1,124.82,537.93,502.69,23.34
20.48,115.02,502.0,560.44,29.03
20.49,116.09,522.82,508.5,26.89
20.56,117.41,514.29,541.24,23.1
20.4,123.24,595.48,547.75,44.25
20.96,110.38,504.38,548.32,41.26
20.56,114.44,518.17,516.66,28.79
20.47,91.8,544.66,596.5,26.37
20.32,106.69,505.62,531.65,27.56
20.27,109.21,584.83,543.18,22.73
20.89,96.46,521.45,548.31,22.4
20.8,102.19,568.69,585.88,26.71
20.11,111.73,515.63,583.48,24.51
20.59,104.66,549.89,562.16,21.42
20.09,110.81,563.41,505.53,26.37
20.82,123.64,563.81,546.3,19.48
20.97,117.11,545.98,585.87,24.88
20.54,92.22,543.31,543.91,23.97
20.53,99.81,516.97,568.76,24.64
20.49,116.82,553.25,556.18,21.4
20.69,116.6,519.25,543.13,29.95
20.11,99.19,527.02,524.64,28.01
20.78,112.2,521.44,526.9,29.55
20.81,115.43,569.61,592.96,23.58
