Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.32,163.75,812.94,547.95,24.72
25.9,169.97,845.34,502.18,27.27
25.94,169.48,813.21,599.63,19.93
25.69,168.06,802.5,545.12,28.09
25.22,164.79,814.2,530.69,37.18
25.54,164.16,833.74,531.04,36.77
25.09,168.95,836.59,593.18,20.48
25.3,161.06,806.66,565.69,27.55
25.12,169.65,800.12,590.2,24.14
25.29,166.72,830.5,530.11,21.67
25.08,164.77,818.42,587.21,27.51
25.09,169.78,815.89,511.65,47.67
25.18,161.87,827.21,559.69,43.72
25.18,163.35,820.73,535.42,23.5
25.03,166.21,824.23,540.75,27.1
25.12,160.06,839.05,582.8,28.28
25.35,167.34,849.49,530.5,25.82
25.96,160.81,834.0,539.85,29.06
25.3,162.82,821.34,539.11,22.99
25.25,162.7,842.42,562.94,25.96
25.43,165.81,809.74,516.66,29.5
25.89,164.95,808.2,538.79,27.88
25.37,168.02,812.66,527.13,28.46
