Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.49,94.26,557.1,505.31,18.65
20.58,120.1,535.16,509.97,18.18
20.11,115.71,519.54,533.7,25.77
20.83,104.46,576.23,510.98,20.53
20.51,92.46,501.64,526.06,29.96
20.48,95.16,594.02,514.53,26.2
20.23,99.72,503.63,512.63,41.86
20.84,114.69,573.9,525.7,27.73
20.99,91.64,531.5,520.94,39.65
20.29,94.48,526.1,592.21,21.31
20.21,123.41,514.04,551.22,24.05
20.85,90.62,582.82,555.51,29.58
20.91,93.76,523.61,591.13,44.79
20.17,91.49,580.56,520.55,27.24
20.5,96.46,509.92,563.93,24.15
20.53,115.16,575.27,535.43,22.28
20.31,96.83,507.41,523.89,45.1
20.79,107.96,574.28,568.45,22.46
20.5,90.35,555.78,503.22,47.48
20.82,109.48,555.1,508.5,21.34
20.73,113.61,512.42,557.68,19.75
20.49,129.09,502.31,519.48,25.79
20.59,118.11,501.08,519.77,29.95
20.96,119.43,587.96,577.68,23.33
20.77,126.68,564.7,519.13,19.03
