Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.32,128.73,531.69,563.5,28.88
20.31,107.41,542.43,547.48,38.53
20.16,102.8,558.43,568.39,28.04
20.82,113.58,501.79,564.19,29.41
20.93,127.2,575.95,527.8,41.46
20.69,124.73,596.7,544.17,21.02
20.45,102.22,552.72,520.29,19.94
20.21,112.94,512.99,586.42,29.95
20.06,107.37,581.38,568.21,26.15
20.58,102.54,587.34,559.43,29.87
20.25,125.9,501.98,509.7,22.44
20.79,125.9,577.81,558.98,28.79
20.62,103.6,511.91,569.84,47.27
20.95,124.34,572.6,563.68,20.23
20.08,107.57,501.56,502.44,20.38
20.31,117.78,536.98,513.86,18.04
20.34,100.21,513.47,524.44,27.86
20.84,113.66,539.58,580.38,22.6
20.61,91.86,539.42,593.01,24.75
20.32,127.53,552.44,577.28,23.74
20.74,121.41,575.96,543.11,28.23
20.08,96.37,569.54,580.34,23.55
20.75,118.64,560.84,532.78,18.85
20.98,127.44,584.92,517.1,28.71
20.42,119.29,516.96,507.04,21.55
20.93,111.87,517.95,593.16,40.45
20.18,117.95,549.64,531.71,20.95
20.29,102.19,599.38,502.13,21.37
20.16,106.44,565.97,529.3,21.41
20.67,95.73,525.83,566.05,29.01
20.65,118.08,549.67,528.69,24.49
20.18,94.97,536.3,528.22,20.88
20.06,92.73,571.17,585.91,36.36
20.42,91.62,515.36,597.02,46.56
20.97,124.54,550.98,582.98,25.85
20.19,92.36,507.52,529.08,19.89
20.91,112.76,595.77,578.28,44.01
20.59,112.36,517.84,541.56,19.55
20.31,99.82,579.44,534.37,29.8
20.13,111.98,580.41,562.91,18.57
20.99,125.0,540.7,537.57,23.21
20.37,102.01,568.64,542.89,24.35
20.51,122.22,593.42,570.5,22.49
20.2,120.82,577.57,543.52,28.76
20.38,117.38,557.03,563.04,21.83
20.5,117.52,555.25,535.72,18.7
20.46,102.94,545.43,574.99,39.58
20.58,129.66,509.49,529.27,22.88
20.7,103.85,551.47,579.74,23.99
20.83,128.22,552.14,587.57,18.5
20.48,122.54,505.83,561.54,21.65
20.93,112.53,597.74,575.67,37.52
20.87,111.79,541.16,504.17,24.56
20.87,98.94,518.31,513.69,25.21
20.85,120.33,592.53,524.04,20.03
20.36,115.08,569.7,512.09,22.67
20.55,99.54,526.43,598.74,26.64
