Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.05,125.72,520.96,594.57,29.68
20.84,119.52,533.48,515.65,26.05
20.81,115.89,596.06,554.11,22.12
20.24,124.85,569.11,526.29,19.89
20.35,94.74,508.91,554.24,22.85
20.92,98.4,541.41,560.95,21.04
20.63,96.21,572.22,557.32,19.11
20.93,124.17,554.66,566.35,26.39
20.34,111.51,547.38,530.7,24.98
20.01,110.81,526.1,507.45,28.51
20.56,103.64,553.16,513.37,29.61
20.83,101.59,595.34,548.33,19.28
20.72,115.63,525.19,581.88,39.82
20.86,118.73,545.12,514.08,39.59
20.71,102.9,515.67,594.35,19.19
20.27,128.03,554.63,509.71,22.23
20.4,101.58,553.64,534.81,39.12
20.59,115.29,561.71,506.25,22.49
20.4,93.71,573.06,539.56,37.83
20.18,116.76,532.55,581.01,23.75
20.02,92.72,593.31,575.35,28.05
20.88,108.81,577.51,597.14,46.73
20.69,124.84,528.91,530.92,41.57
20.67,101.81,590.46,584.21,18.09
20.98,110.85,549.62,529.68,26.87
20.95,126.01,543.53,594.33,23.27
20.33,107.29,542.88,506.06,19.57
20.35,99.93,537.15,540.19,28.35
20.59,97.75,521.75,543.99,37.76
20.6,118.79,555.91,541.69,46.23
20.37,107.17,538.9,599.53,28.09
20.92,103.62,528.44,519.95,18.6
20.38,116.12,503.5,504.47,23.45
20.97,108.89,511.5,506.23,27.53
20.11,98.38,510.3,520.91,19.14
20.43,104.02,503.2,544.41,23.72
20.36,114.07,550.93,568.74,19.27
20.91,116.9,522.06,562.08,18.38
20.25,127.79,578.8,529.07,18.39
20.87,95.98,520.8,582.31,27.01
20.98,104.6,513.3,566.04,22.48
