Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.62,90.26,824.26,582.54,21.95
20.46,100.35,836.95,555.2,41.94
20.67,93.55,844.0,539.24,20.29
20.2,97.78,823.55,507.47,21.91
20.07,113.19,824.38,519.06,29.37
20.99,90.95,811.33,551.98,28.56
20.09,101.2,820.19,528.36,19.36
20.72,110.15,810.92,585.39,24.17
20.82,122.95,811.28,501.48,29.26
20.69,112.01,845.7,576.46,39.31
20.95,125.82,822.89,557.6,41.58
20.39,103.99,834.02,512.29,39.46
20.87,111.14,806.77,513.89,21.43
20.4,125.08,814.48,585.28,44.7
20.07,107.89,820.2,573.07,20.56
20.59,97.01,821.47,520.32,28.63
20.26,128.18,839.9,560.8,28.54
20.91,119.76,806.11,582.98,39.12
20.44,124.44,838.91,533.98,23.48
20.09,107.96,847.75,500.79,21.02
20.53,106.73,837.04,502.13,20.58
20.39,96.75,838.07,563.16,28.59
20.48,95.25,841.36,500.79,21.83
20.08,125.16,815.03,567.15,25.02
20.31,129.41,812.47,581.38,29.93
20.39,114.98,802.16,599.83,28.53
20.86,125.13,817.46,530.0,22.01
20.24,114.53,826.53,592.79,23.4
20.55,115.46,818.94,567.68,22.73
20.65,122.17,837.14,505.49,46.99
20.22,105.54,805.98,561.28,39.22
20.39,116.18,845.94,524.87,39.01
20.44,96.22,804.25,532.83,46.45
20.17,95.81,822.36,528.57,21.35
20.29,129.98,842.32,589.68,19.38
20.33,103.39,844.26,595.68,26.9
20.19,115.85,812.41,546.79,41.34
20.99,118.37,847.96,526.43,18.91
20.46,108.84,816.29,523.49,25.93
20.66,94.11,838.19,566.79,18.95
20.94,120.01,817.47,519.85,21.05
20.83,110.27,818.01,565.37,45.7
20.03,97.85,800.54,591.75,24.79
20.86,105.58,824.69,584.35,40.01
20.85,98.69,847.51,504.35,26.28
20.9,125.05,836.55,548.88,21.61
20.58,114.67,848.65,562.65,39.17
20.92,117.15,820.88,521.89,25.04
