Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.43,105.63,806.67,843.99,38.72
20.32,109.65,805.98,835.87,18.74
20.71,102.05,804.39,832.18,36.78
20.81,124.79,824.76,841.83,44.62
20.8,119.67,834.06,841.2,25.41
20.3,127.15,826.32,830.59,24.16
20.72,128.51,840.96,830.81,29.26
20.57,120.08,823.32,837.09,27.93
20.47,97.89,804.86,843.03,29.61
20.37,117.35,818.99,844.66,23.35
20.99,120.21,812.92,822.44,18.43
20.4,106.85,816.98,802.55,24.62
20.61,99.34,838.83,827.73,26.86
20.84,113.59,800.65,848.49,23.31
20.77,100.33,840.58,844.88,20.69
20.36,98.61,847.49,814.91,25.84
20.37,102.65,832.21,821.05,28.91
20.88,98.86,806.54,828.9,26.69
20.92,92.29,808.61,807.77,18.04
20.56,91.48,805.04,834.97,46.06
20.97,101.04,804.66,801.16,42.47
20.18,98.7,832.87,840.5,42.87
20.36,102.75,816.19,823.72,18.5
20.02,110.63,802.51,841.44,19.6
20.43,107.1,815.95,839.14,18.41
20.82,91.63,808.64,834.94,47.68
20.77,103.73,809.76,832.11,23.33
20.83,100.98,804.86,801.59,24.76
20.15,101.84,817.21,836.52,19.29
20.37,117.51,828.07,803.73,39.4
20.15,96.44,827.16,843.91,29.52
20.09,92.97,819.39,813.88,18.08
20.9,123.85,824.13,811.23,23.42
20.99,126.42,848.64,812.33,22.92
20.42,96.54,828.7,844.47,42.55
