Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.46,109.43,579.68,562.75,19.21
20.92,107.26,544.81,533.54,41.06
20.62,102.4,589.32,541.92,37.97
20.26,109.29,533.02,543.08,40.78
20.55,97.53,568.87,522.06,36.49
20.08,98.58,523.87,572.94,28.58
20.99,103.2,506.58,564.31,40.42
20.78,109.85,507.1,585.05,28.09
20.21,116.3,524.49,556.85,36.3
20.94,117.78,529.75,538.67,18.98
20.93,91.34,509.65,571.8,24.68
20.45,103.98,564.52,578.3,20.98
20.83,106.66,594.31,566.25,28.72
20.88,106.47,586.87,550.62,18.47
20.79,103.28,548.59,515.9,24.29
20.55,108.43,537.42,563.17,28.51
20.69,105.2,595.74,571.61,25.13
20.36,117.45,563.92,560.4,18.64
20.85,115.0,502.45,581.0,24.54
20.97,90.23,529.82,599.87,40.23
20.6,101.13,569.71,559.35,26.39
20.65,119.07,575.58,596.22,24.5
20.34,119.69,565.76,521.15,21.49
20.18,95.24,576.77,534.86,45.19
20.09,94.42,578.29,525.22,29.32
20.15,121.34,555.77,516.78,20.58
20.43,96.46,522.77,591.28,44.08
20.96,119.76,573.1,518.89,47.43
20.64,92.34,523.13,557.14,21.65
20.43,107.88,577.54,506.63,24.59
20.94,93.87,574.92,591.15,25.29
20.88,124.61,515.62,540.23,18.79
20.78,109.45,533.73,524.08,42.1
20.14,122.21,562.86,547.85,41.49
20.43,106.28,541.5,532.36,18.4
20.03,123.6,517.25,584.69,40.15
20.94,111.66,545.74,596.38,40.67
20.81,129.08,530.19,597.21,42.01
20.82,114.26,553.69,558.9,28.09
20.74,127.28,554.31,504.94,25.27
20.38,93.42,567.12,526.44,22.77
20.64,126.88,585.35,505.87,18.38
20.17,90.32,546.27,540.82,45.04
20.29,103.28,571.55,514.08,38.6
