Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.24,102.66,568.03,574.25,26.85
20.14,97.95,587.96,547.7,18.65
20.77,94.53,561.46,580.11,24.86
20.09,121.98,589.49,500.33,19.66
20.5,109.18,554.96,570.29,27.93
20.17,120.47,501.99,554.76,20.73
20.13,123.37,528.46,555.82,38.09
20.57,94.02,580.79,511.13,22.96
20.84,91.0,529.56,561.98,22.06
20.94,105.22,588.65,536.71,38.91
20.3,119.61,502.18,532.61,29.15
20.56,123.46,563.16,555.14,18.75
20.44,96.79,564.34,586.87,22.95
20.64,101.1,502.1,585.89,41.87
20.6,107.31,595.78,553.91,44.68
20.99,100.37,561.99,589.82,27.4
20.48,126.18,542.04,551.53,25.4
20.39,91.08,547.77,555.55,38.62
20.99,101.08,560.11,517.74,25.51
20.93,123.04,579.6,501.79,18.68
20.72,111.46,530.32,589.99,29.7
20.6,100.94,538.6,530.11,20.51
20.17,124.19,548.64,559.12,46.13
20.17,113.59,565.62,597.04,19.32
20.35,107.67,552.88,565.47,21.33
20.85,108.25,574.91,588.99,29.98
20.72,128.92,555.79,583.44,29.94
20.12,116.4,587.02,565.24,28.93
20.62,111.1,577.15,562.45,21.11
20.51,105.32,598.67,550.15,24.37
20.37,105.27,569.82,535.55,26.11
20.51,101.26,526.72,528.12,27.66
20.51,108.55,537.91,584.5,28.83
20.99,121.76,575.27,587.87,20.31
20.37,117.96,584.79,517.33,22.95
20.35,93.04,522.28,501.23,23.4
20.37,97.98,552.88,559.37,23.66
20.93,122.53,512.85,586.62,43.76
20.69,126.65,502.52,578.23,26.04
20.87,122.48,584.66,513.12,29.8
20.78,104.78,585.93,543.75,25.76
20.25,114.48,580.19,559.49,25.22
20.33,92.22,559.84,540.49,47.06
20.78,107.96,562.22,551.18,22.3
20.99,98.28,514.04,590.92,21.39
20.25,113.67,550.25,565.58,20.69
20.93,99.88,575.23,531.31,28.68
20.19,100.81,538.53,548.16,21.25
20.38,128.25,582.13,505.11,26.3
20.15,96.97,567.65,570.94,24.52
20.18,105.12,533.65,559.76,21.75
20.54,108.28,551.9,501.99,26.15
20.44,110.6,583.92,567.06,28.5
20.29,100.07,532.63,594.99,26.06
20.3,106.09,525.9,512.8,27.24
20.17,115.6,512.83,513.75,27.19
20.32,115.09,548.4,579.26,27.61
20.62,115.24,579.58,574.98,42.39
20.84,107.67,560.97,594.86,37.01
