Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.75,123.12,524.79,542.57,25.6
20.72,105.33,530.36,542.15,46.84
20.46,120.73,516.31,594.48,29.25
20.13,102.81,536.16,555.67,27.88
20.47,126.87,516.04,512.77,19.22
20.14,127.84,599.67,540.39,47.95
20.7,97.27,576.76,574.13,18.9
20.34,116.27,509.86,543.82,38.61
20.72,118.45,514.45,557.56,18.67
20.36,105.39,528.43,566.39,24.51
20.45,113.6,517.24,515.55,23.22
20.64,128.15,531.22,514.03,25.29
20.42,120.8,579.02,569.64,25.61
20.91,103.51,523.34,507.38,27.43
20.25,104.9,578.23,557.19,21.46
20.67,116.04,509.72,524.52,22.28
20.84,114.92,505.41,501.93,27.96
20.76,93.36,595.12,518.93,37.12
20.86,103.77,545.8,504.95,28.37
20.8,121.57,593.58,532.08,20.4
20.74,125.57,572.38,542.75,24.16
20.23,118.66,579.53,541.19,21.27
20.44,116.65,541.68,594.9,26.81
20.24,118.7,508.99,525.26,40.15
21.0,102.63,504.66,522.3,27.82
20.05,105.11,509.89,515.65,46.59
20.79,103.42,552.96,506.93,19.22
20.17,92.81,576.0,589.27,18.93
20.78,117.58,529.21,568.55,27.19
20.21,123.59,558.93,591.69,37.96
20.02,111.98,510.92,522.48,26.54
20.57,128.19,555.4,539.08,18.68
20.85,101.8,516.18,519.63,21.36
20.26,106.1,546.03,577.9,19.25
20.59,122.71,551.67,565.1,23.74
20.46,117.25,536.08,554.38,19.36
20.55,94.91,505.27,578.54,27.22
20.16,96.24,541.18,532.51,38.06
20.32,102.39,557.75,505.87,20.12
20.91,106.97,593.03,529.46,24.33
20.89,126.26,502.05,521.38,21.35
20.1,93.29,510.29,524.97,27.32
20.27,111.95,544.04,537.23,27.16
20.57,116.09,581.04,572.99,21.5
20.85,111.36,568.26,584.32,27.26
20.45,91.56,527.97,581.64,29.11
20.28,115.75,556.26,522.49,27.14
20.4,114.66,532.07,534.23,24.0
20.29,110.17,508.7,547.36,27.6
20.77,95.04,551.82,593.62,23.79
20.31,97.94,532.55,504.9,47.14
20.57,123.66,543.39,569.17,42.16
20.22,106.65,520.19,561.5,28.86
20.01,126.35,540.64,512.88,27.22
20.97,129.32,530.59,567.09,21.2
