Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.64,166.78,561.06,815.42,45.5
20.48,166.96,516.61,847.49,45.84
20.03,169.16,549.32,830.52,18.27
20.61,168.95,515.44,847.43,23.68
20.78,166.11,568.7,808.55,24.92
20.08,162.23,566.46,842.47,27.64
20.59,164.35,519.87,849.62,19.38
20.2,164.26,519.49,804.4,20.13
20.06,165.33,546.47,849.48,28.56
20.11,167.41,520.48,810.34,26.29
20.78,169.43,590.88,813.19,25.78
20.66,163.73,563.54,810.35,44.45
20.23,168.0,585.57,836.72,22.05
20.53,163.03,519.66,823.64,28.12
20.37,161.13,596.33,839.46,20.46
