Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.21,107.71,539.95,588.63,20.03
25.46,100.51,540.17,521.93,27.48
25.52,107.69,599.9,538.0,46.93
25.89,114.17,512.47,525.71,36.34
25.4,102.22,556.6,596.0,27.7
25.15,108.69,592.7,537.37,22.02
25.01,95.28,594.52,598.19,45.06
25.88,90.61,565.33,557.92,18.46
25.11,107.48,509.77,519.79,26.37
25.68,121.68,509.93,571.01,18.14
25.16,108.05,531.0,588.29,42.09
25.92,115.7,587.08,579.5,20.72
25.54,102.28,505.56,512.01,20.47
25.59,115.14,524.67,561.52,37.55
25.33,105.71,565.25,506.53,18.32
25.15,115.34,566.38,547.31,26.36
25.89,91.29,556.74,596.01,21.14
25.85,119.98,504.61,554.69,41.21
25.26,100.04,558.1,519.26,29.26
25.7,125.76,538.81,513.61,23.85
25.17,103.43,550.66,543.81,23.91
25.8,116.52,596.22,593.12,38.29
25.77,109.56,515.19,556.46,20.8
25.16,93.02,563.24,535.46,24.77
25.43,91.62,533.16,519.95,19.85
25.35,114.78,579.58,521.73,27.06
25.98,123.98,548.4,566.97,28.98
25.13,128.38,532.2,561.37,28.29
25.26,108.67,555.6,520.56,45.81
25.26,105.43,524.92,595.43,46.52
25.51,105.91,549.77,536.78,29.9
25.11,114.22,537.27,546.62,21.01
25.89,90.48,561.9,544.92,38.81
25.16,115.78,539.77,511.14,47.99
25.95,122.25,590.08,578.43,44.61
25.63,108.95,533.26,591.81,21.37
25.92,110.05,528.09,514.72,25.13
25.51,94.63,508.31,558.72,38.47
