Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.54,123.09,537.4,501.11,22.42
20.72,95.15,539.42,511.88,24.46
20.16,118.99,521.6,520.02,28.98
20.62,110.8,592.63,541.54,24.9
20.68,128.81,505.44,575.54,20.1
20.08,91.27,530.09,525.5,26.82
20.89,92.5,512.01,540.01,23.48
20.71,91.15,527.87,518.25,24.07
20.43,111.6,589.53,503.74,22.89
20.0,117.1,574.42,572.57,23.7
20.12,97.92,530.97,587.82,18.43
20.78,128.05,558.18,512.99,40.05
20.27,110.12,533.34,540.64,44.17
20.03,103.02,563.94,563.87,29.79
20.9,105.18,535.71,546.2,28.97
20.28,91.04,533.86,573.01,29.48
20.03,106.02,567.52,575.63,25.25
20.74,94.82,584.19,568.26,19.85
20.57,102.82,586.04,553.04,25.33
20.06,109.71,577.13,584.1,24.06
20.25,111.85,518.52,527.86,27.73
20.71,119.09,576.27,565.79,43.33
20.31,107.73,521.28,560.92,19.07
20.98,101.84,555.14,548.87,18.06
20.65,116.61,561.94,509.01,21.09
20.63,127.62,557.25,569.23,21.62
20.92,92.13,576.47,546.23,22.6
20.02,120.89,527.76,538.1,21.88
20.88,103.61,518.49,536.82,22.9
20.35,116.99,505.89,506.2,20.7
20.07,116.73,548.41,570.01,27.49
20.59,92.92,534.39,531.68,27.98
20.27,113.43,551.18,511.23,24.19
20.82,93.77,503.57,593.13,25.28
20.84,122.56,529.49,565.19,20.54
20.94,123.68,531.24,599.63,29.03
20.0,101.84,535.87,567.04,23.43
20.48,123.18,531.15,552.66,20.75
20.4,90.69,581.65,582.71,25.72
20.41,91.55,560.11,535.79,46.2
20.42,91.28,561.35,568.31,20.95
