Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.08,112.22,507.66,548.44,43.65
20.41,108.43,596.1,558.42,28.24
20.1,115.38,566.85,595.47,22.14
20.69,122.43,569.15,526.1,29.62
20.29,119.52,504.45,518.28,19.37
20.41,122.59,568.17,568.64,36.42
20.31,96.62,575.74,542.29,18.42
20.13,97.77,532.2,514.23,28.71
20.28,108.21,556.21,517.85,23.58
20.74,118.2,506.3,563.29,25.02
20.1,121.07,583.22,570.09,23.1
20.98,109.58,537.15,583.39,29.87
20.13,120.57,567.0,527.84,22.6
20.45,116.92,518.35,550.3,23.71
20.25,123.02,583.83,576.35,44.79
20.22,110.09,563.73,511.12,27.44
20.91,101.32,522.97,554.63,39.82
20.47,118.38,570.6,530.78,21.6
20.31,104.09,542.65,587.83,26.02
20.64,115.2,508.97,563.92,21.55
20.4,109.04,572.18,500.35,44.93
20.6,100.8,524.36,540.72,25.67
20.94,125.08,597.44,557.6,24.63
20.05,122.99,597.84,548.47,25.31
20.83,114.98,506.9,555.98,21.57
20.07,96.33,523.13,527.66,43.1
20.95,95.03,560.15,505.54,20.65
20.52,128.56,585.88,503.48,29.0
20.56,119.92,575.35,577.15,43.75
20.3,115.75,516.73,506.85,37.47
20.09,104.06,522.14,541.82,22.56
20.42,94.16,537.75,505.13,26.51
20.88,98.83,551.14,577.03,22.99
20.53,91.2,538.03,543.71,27.46
20.42,117.5,524.49,514.04,28.43
20.1,90.81,534.79,522.26,21.15
20.25,116.54,568.08,526.39,24.98
20.94,128.94,543.27,594.12,36.86
20.52,97.2,514.34,518.51,29.1
20.7,97.05,538.52,560.44,22.03
