Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.85,127.77,551.18,536.46,47.71
20.88,129.98,507.27,547.85,19.88
20.18,109.25,563.9,580.94,18.63
20.65,106.9,504.57,585.74,26.56
20.95,99.02,548.51,513.12,40.33
20.85,109.32,506.73,533.35,24.91
20.34,118.08,513.36,584.45,21.5
20.01,112.02,582.54,520.94,42.56
20.61,96.45,557.22,535.31,20.42
20.08,117.21,510.29,510.3,25.45
20.55,99.65,577.68,588.37,24.88
20.13,109.55,513.2,556.5,39.57
20.34,107.33,562.09,598.48,27.94
20.07,103.66,521.25,542.58,20.11
20.28,127.56,587.63,505.9,43.04
20.09,122.51,574.8,536.71,21.67
20.13,117.34,588.77,559.26,22.63
20.53,117.99,580.93,582.68,40.59
20.25,108.2,525.57,507.12,22.91
20.08,122.19,521.49,595.78,26.64
20.87,106.35,594.13,521.14,22.78
20.2,98.16,563.98,505.82,23.92
20.15,93.58,545.56,578.61,18.2
20.64,109.05,502.69,515.55,23.37
20.01,106.17,524.69,522.23,23.54
20.31,99.11,572.34,503.63,18.67
