Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.92,100.09,571.21,507.99,27.45
25.02,123.41,544.97,559.19,27.55
25.44,108.42,512.44,565.8,21.27
25.31,119.15,593.88,551.9,36.52
25.65,125.05,579.15,546.73,27.76
25.16,106.43,552.38,541.19,20.45
25.28,104.31,542.67,598.79,45.56
25.81,115.65,513.47,557.56,23.59
25.27,94.68,592.77,560.6,20.87
25.93,122.27,543.01,553.19,24.24
25.93,117.46,542.52,526.39,26.51
25.88,91.98,522.71,519.87,44.27
25.33,97.48,505.98,500.07,20.96
25.55,119.06,525.29,512.61,38.2
25.99,101.38,578.54,596.28,26.71
25.66,98.79,506.96,569.7,25.37
25.72,111.22,517.11,598.35,39.38
25.66,105.85,539.7,520.18,24.59
25.36,124.58,558.65,570.78,22.98
25.35,90.87,516.01,591.57,21.4
25.84,116.25,539.43,570.01,20.16
25.35,118.0,520.15,501.6,28.34
25.83,122.73,542.4,533.13,20.75
25.73,125.09,509.91,505.34,26.71
25.32,107.22,504.4,546.39,38.57
25.28,109.59,541.67,527.66,23.78
25.72,96.64,595.41,585.57,45.31
25.02,107.82,552.97,540.74,18.27
