Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.57,120.94,502.05,544.28,23.18
20.44,95.01,573.97,544.01,18.56
20.13,123.19,537.64,544.73,19.95
20.83,113.81,557.96,592.99,18.79
20.96,114.13,562.75,575.8,36.28
20.25,121.8,513.95,544.36,25.82
20.67,127.62,518.73,561.1,23.08
20.25,128.82,572.06,587.36,28.63
20.08,120.06,591.01,516.55,19.15
20.37,107.18,555.63,580.04,26.43
20.56,96.4,561.16,520.98,29.14
20.35,106.31,539.76,542.06,29.94
20.55,128.4,542.1,507.66,19.18
20.87,106.02,548.17,565.93,18.64
20.77,98.77,542.1,554.44,23.67
20.36,111.16,582.92,527.14,25.12
20.89,96.06,518.73,561.99,24.48
20.09,93.44,525.26,563.34,18.07
20.61,118.42,578.07,592.56,18.56
20.54,113.11,550.91,558.09,23.44
20.41,112.24,547.54,584.87,18.37
20.84,109.55,585.33,526.18,46.77
20.8,105.16,595.34,583.22,21.9
20.15,118.9,596.69,540.89,19.75
20.94,124.27,565.76,554.62,19.06
20.06,93.53,563.35,510.8,28.41
20.7,127.51,556.04,525.79,22.94
20.54,99.32,579.0,599.5,26.34
20.21,128.81,528.23,572.36,20.32
20.28,117.98,519.52,536.76,19.68
20.99,95.71,504.57,520.42,19.69
20.66,102.76,558.88,552.49,20.53
20.17,120.06,570.77,503.23,41.5
20.31,94.33,515.59,594.78,19.25
20.41,92.82,566.2,551.69,38.55
20.89,112.37,505.2,583.02,24.27
20.76,98.76,563.57,571.61,44.83
20.56,114.7,566.29,553.15,29.63
20.89,101.31,541.95,557.27,24.41
20.44,90.36,553.54,576.62,38.7
20.02,106.36,503.31,569.46,47.98
20.57,113.35,509.59,563.18,18.01
20.43,106.33,577.18,560.48,25.52
