Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.79,161.09,588.52,536.83,44.01
20.02,168.5,557.15,564.86,18.42
20.48,160.39,504.49,520.9,23.24
20.61,168.11,586.59,562.11,26.74
20.99,162.08,576.17,556.4,24.56
20.55,161.4,591.58,599.0,19.81
20.37,167.14,578.71,516.45,19.81
20.05,166.94,588.46,551.63,26.38
20.77,165.31,586.37,598.76,24.92
20.74,168.78,517.99,585.5,20.75
20.01,165.1,551.11,539.36,18.66
20.91,167.12,580.26,525.18,23.4
20.24,164.86,597.49,569.13,28.1
20.17,160.58,592.86,550.55,21.52
20.71,161.52,548.47,524.49,29.8
20.62,163.79,526.75,524.89,37.64
20.8,163.93,581.76,524.75,24.42
20.98,166.03,506.6,549.67,26.08
20.26,166.73,573.45,560.87,25.23
20.32,165.38,519.44,562.83,23.9
20.33,165.46,554.53,582.4,46.03
20.19,167.36,534.95,541.74,25.39
20.16,165.25,549.73,574.72,27.72
20.89,169.05,528.18,585.79,29.27
20.84,162.4,520.67,506.33,27.32
20.46,168.13,578.88,510.79,21.01
20.79,163.4,538.86,598.7,47.74
20.69,160.43,502.5,511.72,38.04
20.04,168.23,584.12,564.53,21.02
20.62,168.72,582.45,569.25,21.17
