Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.03,95.3,517.59,544.01,22.7
20.69,110.56,552.11,549.78,26.67
20.64,114.11,533.48,531.27,18.92
20.74,125.05,563.07,506.59,38.76
20.5,98.61,532.59,501.79,24.36
20.75,108.27,560.85,504.82,21.63
20.61,104.17,518.9,518.48,47.93
20.62,111.85,572.1,595.96,23.52
20.37,121.15,575.71,537.32,29.85
20.61,112.92,541.26,599.74,28.95
20.25,95.04,554.0,587.5,27.53
20.99,115.14,558.43,590.43,24.54
20.11,101.13,559.33,589.6,19.7
20.77,95.77,507.2,523.8,18.16
20.25,99.06,572.69,522.53,41.3
20.04,113.63,512.83,525.25,29.87
20.75,124.68,548.59,522.83,42.72
20.06,115.83,575.67,516.35,26.86
20.97,125.42,599.78,583.25,24.87
20.8,121.88,564.81,525.71,27.42
20.31,123.24,582.41,595.07,26.78
20.14,128.21,516.58,522.71,19.96
20.36,99.12,527.66,506.45,28.14
20.86,128.58,584.05,526.43,36.32
20.94,92.27,584.53,562.52,23.47
20.75,113.62,552.99,523.43,43.88
20.25,99.08,555.04,531.35,28.95
20.64,108.86,543.1,568.36,29.62
20.04,118.09,583.44,550.32,39.56
20.19,115.5,529.91,578.47,22.68
20.46,117.49,515.31,500.41,38.63
20.55,115.22,563.15,554.14,47.67
20.83,127.52,581.64,588.2,19.85
20.69,94.72,505.26,535.83,21.88
20.31,91.52,599.57,566.53,27.66
20.21,103.09,561.81,519.4,42.08
20.11,109.92,512.04,584.85,20.09
20.94,98.35,553.18,534.83,39.49
21.0,103.28,512.17,553.34,19.37
20.18,92.15,545.84,586.31,38.89
20.92,115.2,532.96,508.99,24.21
