Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.02,164.18,585.57,536.91,21.82
20.91,164.96,527.71,555.98,19.02
20.4,169.13,523.97,523.95,18.45
20.08,164.38,506.94,596.75,43.94
20.26,164.94,597.3,535.66,20.16
20.14,160.92,598.47,528.52,21.63
20.78,161.45,528.73,576.17,36.95
20.08,167.88,518.45,590.12,45.81
20.88,160.82,537.28,599.58,26.87
20.96,165.56,523.73,536.71,24.75
20.91,165.07,519.75,572.73,46.06
20.89,167.39,531.6,592.28,27.31
20.43,167.24,502.56,572.66,26.33
20.79,160.89,554.86,509.8,21.05
20.14,161.12,577.3,546.57,29.92
20.97,167.23,538.84,530.77,28.2
20.78,165.49,557.52,522.19,22.95
20.3,166.24,522.18,595.46,25.76
20.28,166.76,532.67,534.0,24.16
20.27,161.19,562.99,590.23,45.01
20.67,168.08,559.75,500.74,37.49
20.72,162.97,516.01,535.78,19.34
20.63,169.79,599.08,527.8,23.23
