Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.19,111.26,574.65,525.88,28.1
20.69,125.84,503.79,591.04,20.69
20.6,116.01,596.73,597.57,37.98
20.94,98.34,526.55,578.36,28.95
20.2,127.4,587.16,569.17,24.34
20.34,118.74,545.25,564.74,29.26
20.59,125.55,539.27,599.74,24.42
20.26,122.14,517.45,523.81,21.21
20.99,107.43,555.61,535.09,21.07
20.16,118.52,543.18,585.76,42.37
20.86,110.46,580.89,557.74,39.08
20.23,108.0,582.0,540.73,28.41
20.4,111.5,569.76,552.02,20.48
20.12,116.74,560.72,592.63,18.91
20.1,104.84,573.8,557.8,20.03
20.34,112.91,542.71,556.5,18.08
20.06,121.96,500.22,576.13,39.16
20.84,102.13,521.99,557.06,25.26
20.2,110.94,511.64,563.44,22.22
20.32,111.02,538.72,529.28,19.61
20.78,93.59,501.46,593.96,20.94
20.7,100.46,544.49,534.27,28.79
20.26,116.33,511.12,582.34,45.84
20.13,127.03,520.31,581.96,26.85
20.27,103.46,576.17,562.13,23.52
20.76,115.08,554.32,544.68,25.41
20.2,99.8,528.11,504.83,27.72
20.57,99.2,583.74,510.7,27.07
20.97,107.29,560.9,551.17,21.06
20.26,128.55,573.41,525.67,24.68
20.38,107.46,537.84,509.23,20.04
20.14,129.58,562.8,575.04,19.64
20.44,118.52,578.68,595.99,23.05
20.57,122.49,590.22,559.23,28.93
20.9,98.55,552.67,568.51,25.83
20.73,116.06,571.09,544.63,19.15
