Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.81,164.92,802.83,529.65,19.38
20.54,160.29,805.89,542.38,47.16
20.18,169.64,800.31,511.28,47.04
20.8,164.35,807.12,588.15,43.37
20.95,162.52,825.41,538.08,18.99
20.39,162.31,802.97,583.37,26.45
20.51,167.43,812.1,544.72,21.7
20.1,169.57,840.41,569.67,26.69
20.81,167.74,826.15,533.29,26.51
20.74,161.16,807.45,595.65,29.04
20.11,163.76,843.44,507.13,42.74
20.42,163.34,836.53,562.47,29.96
20.41,163.12,809.56,553.81,27.4
20.26,169.07,843.03,531.75,46.05
20.42,168.97,832.41,520.42,46.24
20.8,168.99,827.0,512.83,25.87
20.61,162.09,831.32,519.82,45.99
20.69,169.24,840.94,594.96,45.29
20.64,164.0,831.65,523.58,25.8
20.67,165.34,834.32,545.79,41.2
20.86,169.56,827.14,513.99,23.48
20.59,163.42,813.9,529.21,22.98
20.55,164.01,847.99,572.91,23.99
20.33,161.07,819.68,586.29,27.39
20.65,164.61,833.7,543.96,26.43
20.82,167.95,845.75,529.81,45.58
20.46,166.45,833.81,597.23,29.11
20.34,167.71,826.46,563.5,19.48
20.39,168.47,819.54,520.41,26.37
20.52,162.88,841.66,544.27,27.47
20.47,161.22,817.36,598.8,46.23
20.0,165.98,849.61,586.84,19.49
20.62,168.84,811.59,595.99,40.15
20.36,169.92,816.17,587.49,24.56
