Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.07,169.61,814.32,559.95,28.4
20.45,165.71,822.28,590.5,27.27
20.97,160.84,842.8,502.92,22.6
20.52,166.19,809.7,516.31,21.74
20.04,160.9,830.97,570.87,27.78
20.21,168.48,810.75,528.61,24.77
20.6,169.68,821.58,586.95,21.05
20.79,162.58,812.76,507.3,23.76
20.47,160.84,844.49,553.68,28.1
20.34,166.26,835.56,585.58,26.17
20.01,162.45,820.91,531.5,21.98
20.46,160.08,814.25,540.66,27.43
20.19,165.67,822.75,504.39,43.57
20.65,168.59,804.34,561.15,40.44
20.05,165.81,845.59,576.23,40.51
20.25,161.18,815.94,501.8,27.48
20.92,168.19,821.68,563.68,18.26
20.72,166.0,824.81,549.7,38.56
20.51,162.16,835.04,535.86,18.46
20.93,162.65,810.77,518.54,24.3
20.61,165.49,807.99,565.83,29.65
20.41,161.39,823.63,582.92,28.06
20.32,164.65,804.94,565.31,24.23
20.07,169.21,838.35,595.49,27.15
20.11,167.77,828.81,574.84,25.31
20.14,161.48,815.48,533.1,41.12
20.57,166.94,839.04,566.83,23.08
20.25,161.15,844.36,588.19,24.93
20.77,165.2,831.22,516.1,36.65
20.28,164.26,845.03,553.29,22.5
20.9,164.37,812.36,570.11,18.03
20.59,161.32,843.02,585.99,20.62
20.54,169.06,844.63,532.98,40.64
20.37,163.61,845.78,567.37,26.64
20.57,160.64,801.74,590.26,23.31
