Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.12,120.86,816.09,814.11,47.26
25.01,115.53,820.22,848.4,41.68
25.07,102.77,805.94,823.11,21.63
25.11,102.85,847.28,822.25,26.71
25.95,96.11,848.1,836.18,18.26
25.76,118.95,824.42,812.41,21.29
25.24,124.42,805.75,831.79,28.29
25.18,124.8,842.14,816.71,22.32
25.66,110.66,828.52,820.61,26.97
25.27,113.03,800.39,819.87,18.41
25.24,126.25,822.52,809.82,25.3
25.54,124.52,828.61,810.74,27.1
25.19,112.61,818.74,811.42,38.07
25.13,118.99,838.06,822.14,27.46
25.63,92.12,833.79,815.69,42.21
25.52,113.19,811.58,800.61,22.44
25.97,128.88,823.64,814.09,40.0
25.88,128.87,832.57,844.89,25.6
25.4,97.08,844.26,829.56,22.02
25.41,110.91,813.89,846.1,26.57
