Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.74,103.93,527.29,514.64,27.33
20.07,93.03,534.54,529.7,29.62
20.02,108.46,535.37,558.03,29.88
20.79,101.15,529.31,583.99,27.85
20.04,115.89,533.05,517.7,28.69
20.17,129.4,518.54,549.51,19.01
20.28,109.59,575.37,575.61,19.9
20.86,116.53,528.65,541.18,29.52
20.75,92.54,547.39,540.16,26.2
20.63,117.77,585.87,554.82,24.81
20.56,109.18,546.47,585.7,21.09
20.81,101.93,590.85,508.31,25.99
20.97,128.61,512.75,538.22,22.17
20.81,104.52,594.07,524.72,20.4
20.28,97.55,556.43,561.38,24.57
20.81,97.73,592.57,545.57,29.37
20.03,110.38,502.35,510.89,22.13
20.16,100.84,523.61,573.69,44.52
20.75,98.39,529.92,597.35,29.32
20.38,91.85,579.96,532.57,26.89
20.2,125.79,507.21,533.06,21.06
20.79,95.97,509.67,579.71,18.63
20.98,102.04,518.39,521.52,23.41
20.57,101.75,522.02,544.38,25.7
20.52,103.91,548.01,583.95,22.0
20.2,112.57,521.37,526.15,28.54
20.1,125.07,526.99,587.26,21.32
20.32,103.81,530.5,504.12,25.31
20.35,115.69,511.22,537.45,20.75
20.03,126.85,561.36,568.68,22.94
20.92,97.28,586.9,598.12,43.7
20.21,98.67,515.64,500.52,43.61
20.77,116.45,528.46,596.51,38.91
20.4,122.95,567.54,556.64,26.06
20.96,106.13,546.6,519.9,20.8
20.24,107.19,522.65,533.43,26.83
20.4,129.29,529.93,520.01,19.21
20.52,102.07,551.27,550.67,23.35
20.26,129.25,591.01,567.13,27.5
20.0,108.32,597.46,572.17,29.38
20.91,108.72,590.17,556.12,41.88
20.14,122.38,533.58,502.98,25.58
20.61,126.48,594.75,540.25,29.56
20.46,95.36,503.22,571.91,24.27
20.05,121.68,574.7,532.31,24.46
20.96,112.99,548.47,566.23,25.82
20.76,118.73,587.21,598.52,46.65
20.7,120.34,574.55,567.81,44.9
