Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.66,124.36,561.76,559.17,20.79
25.76,101.19,543.46,588.97,27.83
25.16,106.17,595.54,578.28,27.43
25.85,102.8,522.66,587.96,26.17
25.88,98.71,580.42,508.17,20.79
26.0,123.48,593.99,568.79,28.58
25.08,117.55,562.65,510.06,24.97
25.34,101.11,567.57,558.15,46.3
25.9,98.13,552.23,578.57,24.71
25.11,109.29,593.42,549.23,46.24
25.06,122.08,587.55,583.06,20.89
25.23,126.95,519.45,510.81,23.19
25.21,112.99,529.42,513.36,21.92
25.19,116.75,522.42,583.57,21.79
25.06,124.15,595.28,586.74,22.12
25.42,95.49,500.11,507.87,25.84
25.05,90.44,510.67,510.47,28.8
25.11,102.26,524.57,517.81,19.61
25.15,124.54,561.67,597.96,20.39
25.25,108.54,580.97,513.29,26.03
25.34,111.3,596.55,538.34,27.17
25.49,124.96,579.77,512.31,39.03
25.2,107.79,525.53,505.5,38.43
25.48,107.09,582.35,577.82,23.0
25.85,111.67,557.72,531.4,19.98
25.65,99.14,517.14,551.08,30.0
25.72,125.1,504.38,570.15,41.54
25.85,126.16,519.22,502.36,25.02
25.23,127.06,502.23,501.96,18.73
25.48,127.28,553.88,574.73,23.58
25.87,98.49,503.95,548.68,24.59
25.04,107.64,511.5,523.63,24.3
25.23,115.95,528.84,580.08,45.12
25.58,124.0,526.06,582.1,46.78
25.55,128.81,523.47,506.71,20.29
25.75,97.21,555.59,524.18,18.67
25.37,90.55,527.47,557.58,21.15
25.5,107.49,591.88,528.77,18.97
25.04,116.21,502.35,514.61,26.06
25.91,115.23,548.34,585.68,44.7
25.44,106.73,569.27,519.46,21.87
25.54,101.36,595.37,581.0,27.47
25.72,113.21,519.33,585.65,43.7
25.44,97.15,559.29,538.84,29.27
25.2,115.02,572.25,544.75,22.27
