Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
25.12,162.42,543.38,829.03,23.23
25.71,162.89,585.39,827.39,28.53
25.02,165.08,524.73,831.93,39.13
25.93,161.43,570.77,820.7,24.58
25.8,166.3,585.73,842.43,23.05
25.12,165.53,556.73,839.17,20.62
25.83,162.33,510.69,816.03,39.36
25.97,166.19,583.78,837.56,28.68
25.58,164.26,502.95,817.0,29.44
25.1,166.59,556.0,823.45,19.75
25.11,166.56,598.52,836.28,29.7
25.94,167.71,552.86,848.23,22.83
25.68,164.83,521.6,812.83,21.12
25.92,166.68,561.51,846.07,18.81
25.15,166.09,592.71,840.74,25.98
25.27,164.15,518.62,819.86,22.79
25.38,169.03,533.44,811.58,29.92
25.88,166.08,568.67,807.29,25.41
