Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.14,168.35,545.55,823.28,22.08
20.1,165.23,572.63,834.98,44.5
20.78,165.21,546.29,812.64,26.57
20.02,168.81,515.89,811.13,39.71
20.73,165.51,564.28,820.51,24.01
20.59,168.07,546.39,807.45,29.11
20.71,168.7,525.07,827.38,25.81
20.53,165.0,524.08,836.68,25.97
20.18,165.96,576.43,825.31,27.04
20.24,166.07,557.3,849.54,37.56
20.71,167.63,560.68,837.43,22.26
20.54,162.96,512.5,824.1,39.05
20.8,160.55,518.66,802.31,24.75
20.79,161.39,582.73,813.88,22.4
20.63,167.72,526.24,803.69,24.63
20.56,164.96,590.07,848.02,18.78
20.55,160.53,588.19,802.58,26.47
20.25,166.94,537.58,821.77,24.31
20.13,165.19,550.77,829.1,26.07
20.19,167.97,521.69,843.48,44.44
20.56,166.61,594.83,825.37,23.56
20.12,164.72,526.32,823.2,18.55
