Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.89,114.4,551.44,539.33,27.56
20.94,92.69,539.14,552.91,19.48
20.6,108.3,589.73,566.08,23.39
20.24,108.05,544.28,501.31,43.03
20.84,102.36,515.76,579.74,20.79
20.56,100.91,541.79,557.1,21.27
20.9,94.61,509.5,580.02,19.97
20.93,125.05,559.56,519.41,28.4
20.24,105.66,518.92,532.44,26.78
20.3,107.16,542.2,594.61,21.81
20.79,104.4,550.06,526.93,27.14
20.18,124.22,546.21,540.48,18.07
20.4,118.08,543.55,555.54,28.52
20.64,124.13,591.92,593.65,28.15
20.56,91.72,588.72,560.54,20.35
20.39,125.35,597.17,581.91,25.88
20.71,117.52,583.8,565.72,22.67
20.67,101.16,515.91,597.91,19.95
20.75,111.21,538.33,576.3,28.45
20.59,97.94,571.74,503.82,26.07
20.1,118.55,564.48,502.34,41.02
20.57,114.4,524.79,553.04,28.09
20.48,127.6,584.89,577.57,28.48
20.22,125.64,526.2,586.23,28.44
20.79,111.38,578.79,539.6,19.13
20.22,117.22,519.4,502.72,26.51
20.85,120.25,595.39,572.09,20.26
20.09,124.9,588.24,529.71,24.04
20.87,122.89,541.61,500.51,26.46
20.34,103.8,575.95,516.68,26.23
20.64,109.17,532.58,585.35,26.2
20.54,128.78,570.58,573.31,45.15
20.5,102.22,594.41,507.08,42.28
20.36,97.86,563.66,590.14,24.53
21.0,100.79,575.59,550.46,21.12
20.21,113.88,502.47,507.68,20.88
20.32,104.76,551.37,527.6,24.56
20.14,94.8,514.35,507.08,18.02
20.38,114.78,545.4,524.66,43.07
20.78,104.96,527.49,561.29,26.88
20.97,125.8,557.36,592.72,42.17
20.69,91.38,526.37,535.22,27.23
20.68,104.4,539.48,549.68,27.75
