Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.52,93.41,515.76,821.41,19.74
20.49,95.68,524.87,848.63,28.41
20.21,119.59,573.71,814.96,20.03
20.91,114.86,553.89,805.9,29.88
20.55,98.27,501.29,842.58,47.78
20.27,120.97,591.63,814.24,46.05
20.92,115.36,560.52,842.89,27.43
20.72,106.21,511.84,809.99,27.69
21.0,106.31,568.12,844.76,29.1
20.15,127.9,562.65,810.16,28.29
20.93,115.75,572.3,817.52,19.31
20.71,97.2,546.08,802.43,20.18
20.09,112.2,518.77,838.95,26.34
20.53,118.32,575.03,821.63,22.58
20.09,123.56,544.66,845.91,40.89
20.02,120.37,549.55,818.53,18.16
20.15,124.77,550.94,837.34,19.73
20.74,96.14,554.6,832.41,41.9
20.38,126.46,536.1,840.27,18.12
20.34,93.92,549.83,827.08,42.88
20.04,92.91,533.98,828.55,27.95
20.1,119.96,599.54,837.58,24.3
20.67,101.42,574.85,839.66,43.56
20.55,123.71,534.04,830.09,26.33
20.23,105.92,526.54,816.25,40.97
20.34,99.31,551.32,844.5,19.48
20.01,102.19,595.54,824.85,27.48
20.97,110.13,563.63,815.24,19.38
20.16,119.34,577.29,820.64,42.04
20.26,93.98,538.65,801.68,19.92
20.29,120.8,500.82,832.57,18.38
20.1,125.5,559.35,828.64,26.4
20.05,128.38,580.77,814.61,19.73
20.3,94.73,591.14,809.4,24.29
20.12,90.48,529.66,806.79,25.76
20.37,120.76,541.47,816.69,26.69
20.68,101.12,520.16,847.83,26.61
20.32,97.73,521.51,829.11,47.58
