Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.16,103.13,805.83,585.74,41.85
20.86,104.16,804.42,546.9,23.95
20.26,100.24,833.24,569.12,21.89
20.63,122.75,822.55,535.09,19.48
20.25,104.21,800.33,591.54,19.98
20.52,113.99,848.14,516.34,47.86
20.49,100.13,831.78,576.57,39.55
20.85,107.03,820.28,502.65,22.62
20.93,96.81,806.91,547.55,27.54
20.93,101.25,828.94,519.19,45.66
20.97,127.16,839.06,595.96,23.39
20.19,100.9,804.07,578.65,22.63
20.77,120.57,801.38,541.17,29.18
20.88,108.01,844.5,515.47,28.56
20.94,122.83,802.75,560.27,19.28
20.56,101.16,808.15,591.37,36.31
20.32,125.62,846.6,589.87,21.26
20.32,117.18,812.77,558.53,29.96
20.29,106.14,821.71,517.98,29.84
20.39,109.51,844.08,522.85,28.34
20.63,116.0,827.35,500.1,27.89
20.79,95.12,818.11,547.6,37.62
20.36,104.92,804.58,576.65,18.89
20.21,111.97,812.8,512.41,22.84
20.6,110.13,810.25,516.7,46.49
20.78,108.6,807.22,522.34,47.26
20.71,110.08,820.6,557.93,36.4
20.65,113.79,822.72,513.27,22.94
20.52,98.32,806.31,579.88,24.47
20.86,120.81,810.55,581.59,27.45
20.95,112.89,817.19,598.48,20.95
