Motor Ampere,Temperature Motor,Intake Pressure,Discharge Pressure,Room Temperature
20.17,104.69,526.09,808.37,24.82
20.22,93.21,576.26,808.86,19.52
20.25,119.16,568.08,847.84,28.33
20.38,126.67,525.28,806.79,21.54
20.75,93.18,516.77,827.86,21.75
20.76,127.02,500.28,801.24,25.46
20.9,91.01,506.43,838.66,25.14
20.11,111.01,546.86,814.7,27.94
20.34,105.08,517.93,849.87,19.48
20.78,99.76,586.96,843.54,26.1
20.35,115.83,545.33,801.04,21.54
20.07,99.93,500.35,816.13,20.28
20.41,91.78,528.85,813.94,22.65
20.3,127.58,578.42,811.0,26.84
20.41,100.88,542.02,823.05,19.79
20.17,102.63,564.03,846.81,18.7
20.87,120.18,577.64,827.39,18.24
20.53,117.25,545.8,809.02,25.88
20.93,123.57,504.09,823.98,29.12
20.45,110.55,568.66,823.49,27.6
20.07,107.45,560.5,805.43,24.19
20.57,94.29,539.52,845.99,19.97
20.31,120.32,512.93,805.13,19.48
20.25,129.94,591.16,811.88,23.1
20.81,91.37,571.11,815.92,19.41
20.73,111.26,554.64,832.39,23.97
20.28,107.72,557.81,806.1,25.08
