Intake Pressure,Maintenance Date
626.93,2023-04-27
600.14,2023-04-27
697.28,2023-04-27
551.45,2023-04-27
652.89,2023-04-27
652.13,2023-04-27
564.4,2023-04-27
-,2023-04-27
701.8,2023-04-27
649.1,2023-04-27
593.38,2023-04-27
684.15,2023-04-27
624.63,2023-04-27
618.76,2023-04-27
680.0,2023-04-27
567.78,2023-04-27
669.54,2023-04-27
613.19,2023-04-27
617.34,2023-05-15
565.4,2023-05-15
647.06,2023-05-15
646.99,2023-05-15
673.89,2023-05-15
703.02,2023-05-15
688.31,2023-05-15
693.06,2023-05-15
700.6,2023-05-15
661.98,2023-05-15
641.16,2023-05-15
589.69,2023-05-15
598.37,2023-05-15
614.24,2023-05-15
598.55,2023-05-15
550.84,2023-05-15
645.72,2023-06-18
692.76,2023-06-18
580.93,2023-06-18
669.61,2023-06-18
690.33,2023-06-18
693.28,2023-06-18
616.8,2023-06-18
650.26,2023-06-18
611.41,2023-06-18
662.23,2023-06-18
581.36,2023-06-18
712.47,2023-08-02
662.98,2023-08-02
636.56,2023-08-02
638.45,2023-08-02
677.59,2023-08-02
707.13,2023-08-02
564.64,2023-08-02
706.55,2023-08-02
670.93,2023-08-02
552.95,2023-08-02
550.39,2023-08-02
667.95,2023-08-02
649.59,2023-08-02
550.87,2023-08-02
628.53,2023-08-02
580.97,2023-08-02
556.84,2023-08-02
603.63,2023-08-02
680.48,2023-08-02
655.99,2023-08-02
671.02,2023-10-06
556.46,2023-10-06
586.27,2023-10-06
552.52,2023-10-06
707.08,2023-10-06
581.45,2023-10-06
577.59,2023-10-06
645.28,2023-10-06
556.38,2023-10-06
584.73,2023-10-06
599.11,2023-10-06
694.47,2023-10-06
672.78,2023-10-06
632.74,2023-10-06
641.69,2023-10-06
679.67,2023-10-06
635.92,2023-10-06
565.73,2023-10-06
626.53,2023-10-06
681.94,2023-10-06
585.0,2023-10-06
588.51,2023-10-06
698.1,2023-10-06
679.49,2023-10-06
651.24,2023-10-06
669.04,2023-10-06
598.98,2023-10-06
592.64,2023-10-06
577.49,2023-10-06
604.33,2023-10-06
686.71,2023-10-06
637.91,2023-10-06
673.77,2024-01-11
612.92,2024-01-11
665.63,2024-01-11
694.15,2024-01-11
686.05,2024-01-11
683.68,2024-01-11
707.76,2024-01-11
613.55,2024-01-11
705.55,2024-01-11
663.94,2024-01-11
699.95,2024-04-27
669.99,2024-04-27
712.26,2024-04-27
634.8,2024-04-27
601.05,2024-04-27
563.65,2024-04-27
592.5,2024-04-27
604.93,2024-04-27
587.61,2024-04-27
626.38,2024-04-27
661.74,2024-04-27
630.17,2024-04-27
654.63,2024-04-27
692.35,2024-04-27
581.8,2024-04-27
694.76,2024-04-27
668.45,2024-04-27
696.77,2024-08-29
625.7,2024-08-29
695.19,2024-08-29
683.36,2024-08-29
700.42,2024-08-29
609.54,2024-08-29
618.05,2024-08-29
628.64,2024-08-29
605.24,2024-08-29
554.64,2024-08-29
556.09,2024-08-29
-,2024-08-29
558.07,2024-08-29
680.09,2024-08-29
589.1,2024-08-29
642.1,2024-08-29
651.53,2024-08-29
591.43,2024-08-29
609.12,2024-08-29
708.55,2024-08-29
641.15,2024-08-29
615.19,2024-08-29
651.81,2024-08-29
624.16,2024-08-29
654.96,2024-08-29
664.31,2024-08-29
608.96,2024-08-29
584.42,2024-08-29
601.77,2024-08-29
615.11,2025-01-29
623.97,2025-01-29
647.13,2025-01-29
554.57,2025-01-29
633.79,2025-01-29
649.64,2025-01-29
600.7,2025-01-29
578.48,2025-01-29
590.9,2025-01-29
656.81,2025-01-29
580.68,2025-01-29
647.22,2025-01-29
700.4,2025-01-29
622.99,2025-01-29
605.67,2025-01-29
624.79,2025-01-29
576.6,2025-01-29
573.8,2025-01-29
605.44,2025-01-29
625.15,2025-01-29
627.2,2025-01-29
668.03,2025-01-29
588.15,2025-01-29
588.47,2025-01-29
591.09,2025-01-29
569.85,2025-01-29
606.94,2025-01-29
610.07,2025-01-29
653.63,2025-01-29
607.91,2025-01-29
679.6,2025-01-29
584.08,2025-01-29
712.38,2025-01-29
628.68,2025-01-29
706.77,2025-08-04
641.61,2025-08-04
582.65,2025-08-04
693.92,2025-08-04
614.89,2025-08-04
677.42,2025-08-04
697.49,2025-08-04
675.28,2025-08-04
620.6,2025-08-04
-,2025-08-04
609.01,2025-08-04
699.85,2025-08-04
705.52,2025-08-04
607.92,2025-08-04
617.21,2025-08-04
618.49,2025-08-04
671.67,2025-08-04
557.12,2025-08-04
557.38,2025-08-04
632.32,2025-08-04
580.89,2025-08-04
599.73,2025-08-04
597.88,2025-08-04
570.95,2025-08-04
710.37,2025-08-04
612.21,2025-08-04
695.51,2025-08-04
700.73,2025-08-04
598.46,2025-08-04
605.0,2025-08-04
687.8,2026-03-09
601.17,2026-03-09
556.06,2026-03-09
599.7,2026-03-09
687.39,2026-03-09
686.52,2026-03-09
699.91,2026-03-09
606.02,2026-03-09
667.13,2026-03-09
687.77,2026-03-09
653.76,2026-03-09
683.21,2026-03-09
680.64,2026-03-09
599.9,2026-03-09
-,2026-03-09
631.4,2026-10-27
648.81,2026-10-27
686.53,2026-10-27
592.33,2026-10-27
615.51,2026-10-27
655.59,2026-10-27
562.11,2026-10-27
692.31,2026-10-27
696.09,2026-10-27
668.04,2026-10-27
577.16,2026-10-27
583.43,2026-10-27
614.3,2026-10-27
700.34,2027-06-29
652.37,2027-06-29
577.0,2027-06-29
573.4,2027-06-29
614.21,2027-06-29
713.87,2027-06-29
675.72,2027-06-29
700.93,2027-06-29
562.51,2027-06-29
569.82,2027-06-29
564.57,2027-06-29
572.53,2027-06-29
625.85,2027-06-29
663.17,2027-06-29
678.78,2027-06-29
597.09,2027-06-29
606.1,2027-06-29
644.02,2027-06-29
602.48,2027-06-29
611.29,2027-06-29
641.98,2027-06-29
708.4,2028-03-21
618.58,2028-03-21
554.37,2028-03-21
575.48,2028-03-21
616.3,2028-03-21
685.24,2028-03-21
571.76,2028-03-21
612.34,2028-03-21
566.6,2028-03-21
687.42,2028-03-21
696.33,2028-03-21
632.22,2028-03-21
675.49,2028-03-21
701.09,2028-03-21
694.36,2028-03-21
571.7,2028-03-21
653.95,2028-03-21
644.3,2028-03-21
586.45,2028-03-21
691.53,2028-03-21
620.3,2028-03-21
702.06,2029-01-02
684.54,2029-01-02
620.96,2029-01-02
590.39,2029-01-02
655.14,2029-01-02
585.25,2029-01-02
639.54,2029-01-02
604.52,2029-01-02
711.26,2029-01-02
604.81,2029-01-02
648.74,2029-01-02
637.57,2029-01-02
619.96,2029-01-02
