Intake Pressure,Maintenance Date
622.51,2024-01-06
586.06,2024-01-06
629.27,2024-01-06
627.61,2024-01-06
604.27,2024-01-06
650.29,2024-01-06
695.34,2024-01-06
599.61,2024-01-06
675.98,2024-01-06
663.71,2024-01-06
567.66,2024-01-06
664.15,2024-01-06
663.38,2024-01-06
598.08,2024-01-06
635.13,2024-01-06
672.73,2024-01-21
551.69,2024-01-21
615.99,2024-01-21
583.35,2024-01-21
633.88,2024-01-21
577.14,2024-01-21
702.19,2024-01-21
711.64,2024-01-21
628.33,2024-01-21
572.68,2024-01-21
705.17,2024-01-21
659.18,2024-01-21
670.04,2024-01-21
605.72,2024-01-21
603.2,2024-01-21
569.37,2024-01-21
594.44,2024-01-21
569.71,2024-01-21
652.68,2024-01-21
578.7,2024-01-21
577.61,2024-01-21
558.33,2024-01-21
676.11,2024-01-21
567.68,2024-01-21
599.64,2024-01-21
639.89,2024-01-21
700.84,2024-01-21
694.44,2024-01-21
670.34,2024-03-04
604.88,2024-03-04
609.83,2024-03-04
564.05,2024-03-04
680.35,2024-03-04
576.79,2024-03-04
662.42,2024-03-04
561.89,2024-03-04
657.22,2024-03-04
554.24,2024-03-04
646.91,2024-03-04
626.97,2024-03-04
574.2,2024-03-04
667.76,2024-03-04
570.12,2024-03-04
620.65,2024-03-04
610.86,2024-03-04
708.88,2024-03-04
642.02,2024-03-04
681.47,2024-03-04
587.46,2024-03-04
591.31,2024-03-04
619.43,2024-03-04
706.13,2024-03-04
557.26,2024-03-04
697.24,2024-03-04
645.21,2024-05-12
675.47,2024-05-12
570.59,2024-05-12
575.2,2024-05-12
637.33,2024-05-12
601.71,2024-05-12
580.3,2024-05-12
648.93,2024-05-12
611.22,2024-05-12
649.01,2024-05-12
713.4,2024-05-12
630.04,2024-05-12
663.55,2024-05-12
676.43,2024-05-12
585.6,2024-05-12
625.61,2024-05-12
557.12,2024-05-12
634.76,2024-05-12
627.11,2024-08-07
585.45,2024-08-07
642.86,2024-08-07
608.94,2024-08-07
656.5,2024-08-07
-,2024-08-07
704.13,2024-08-07
663.33,2024-08-07
597.1,2024-08-07
621.22,2024-08-07
567.89,2024-08-07
689.56,2024-08-07
608.2,2024-08-07
703.4,2024-08-07
580.74,2024-08-07
689.69,2024-08-07
561.2,2024-08-07
579.3,2024-08-07
629.27,2024-08-07
563.0,2024-08-07
619.36,2024-08-07
663.64,2024-11-23
