Intake Pressure,Maintenance Date
-,2024-03-16
-,2024-03-16
583.49,2024-03-16
614.56,2024-03-16
666.45,2024-03-16
647.84,2024-03-16
621.52,2024-03-16
570.77,2024-03-16
661.77,2024-03-16
586.07,2024-03-16
686.16,2024-03-16
631.78,2024-03-16
652.79,2024-03-16
526.51,2024-03-16
649.92,2024-03-16
582.67,2024-03-16
597.43,2024-03-16
590.57,2024-03-16
620.05,2024-03-16
667.31,2024-03-16
648.62,2024-03-16
580.95,2024-03-16
646.86,2024-03-16
668.71,2024-03-16
569.92,2024-03-16
534.87,2024-03-16
647.01,2024-03-16
540.36,2024-03-16
686.72,2024-03-16
679.26,2024-04-14
578.82,2024-04-14
610.6,2024-04-14
661.38,2024-04-14
540.41,2024-04-14
571.07,2024-04-14
590.87,2024-04-14
662.94,2024-04-14
613.94,2024-04-14
617.78,2024-04-14
672.73,2024-04-14
658.69,2024-04-14
622.5,2024-04-14
548.93,2024-04-14
596.61,2024-04-14
636.56,2024-04-14
613.21,2024-04-14
674.05,2024-04-14
645.71,2024-04-14
657.37,2024-04-14
616.4,2024-04-14
607.77,2024-04-14
619.13,2024-04-14
570.58,2024-04-14
591.97,2024-04-14
560.22,2024-04-14
557.47,2024-04-14
634.1,2024-04-14
542.76,2024-04-14
636.42,2024-06-11
627.1,2024-06-11
662.38,2024-06-11
678.29,2024-06-11
664.63,2024-06-11
630.61,2024-06-11
557.86,2024-06-11
536.08,2024-06-11
616.0,2024-06-11
554.35,2024-06-11
525.16,2024-06-11
648.95,2024-06-11
557.22,2024-06-11
678.95,2024-06-11
544.57,2024-06-11
642.98,2024-06-11
594.97,2024-06-11
588.15,2024-06-11
618.12,2024-06-11
634.66,2024-06-11
534.49,2024-06-11
596.02,2024-06-11
637.85,2024-06-11
595.99,2024-06-11
612.88,2024-06-11
570.8,2024-06-11
661.54,2024-06-11
651.51,2024-06-11
662.31,2024-06-11
653.7,2024-06-11
589.71,2024-06-11
643.15,2024-09-08
575.47,2024-09-08
563.86,2024-09-08
580.24,2024-09-08
569.7,2024-09-08
625.77,2024-09-08
589.73,2024-09-08
624.33,2024-09-08
660.61,2024-09-08
574.99,2024-09-08
585.37,2024-09-08
656.7,2024-09-08
605.41,2024-09-08
555.5,2024-09-08
594.92,2024-09-08
541.15,2024-09-08
660.1,2024-09-08
580.71,2024-09-08
529.68,2024-09-08
629.22,2024-09-08
621.55,2024-09-08
550.04,2024-09-08
578.87,2024-09-08
612.51,2024-09-08
646.54,2024-09-08
664.1,2024-09-08
563.1,2024-09-08
673.73,2024-09-08
566.86,2024-09-08
635.82,2024-09-08
660.82,2024-09-08
663.36,2024-09-08
682.67,2025-01-07
631.41,2025-01-07
527.08,2025-01-07
634.64,2025-01-07
528.12,2025-01-07
555.43,2025-01-07
616.94,2025-01-07
670.58,2025-01-07
684.66,2025-01-07
619.87,2025-01-07
621.57,2025-01-07
545.83,2025-01-07
589.91,2025-01-07
628.55,2025-01-07
567.19,2025-01-07
562.29,2025-01-07
560.66,2025-01-07
668.85,2025-01-07
564.38,2025-01-07
573.21,2025-01-07
686.42,2025-01-07
594.45,2025-01-07
665.02,2025-01-07
569.38,2025-01-07
668.13,2025-01-07
643.43,2025-01-07
585.65,2025-01-07
525.35,2025-01-07
676.29,2025-01-07
560.14,2025-01-07
590.14,2025-01-07
689.0,2025-06-08
599.28,2025-06-08
582.19,2025-06-08
548.27,2025-06-08
571.91,2025-06-08
548.94,2025-06-08
536.57,2025-06-08
635.11,2025-06-08
672.49,2025-06-08
545.42,2025-06-08
550.29,2025-06-08
657.76,2025-06-08
656.86,2025-06-08
613.2,2025-06-08
541.53,2025-06-08
672.37,2025-06-08
545.99,2025-06-08
652.67,2025-06-08
619.74,2025-06-08
616.17,2025-06-08
562.52,2025-06-08
638.41,2025-06-08
545.0,2025-06-08
528.35,2025-06-08
