Intake Pressure,Maintenance Date
514.79,2023-08-09
500.36,2023-08-09
627.95,2023-08-09
585.54,2023-08-09
516.64,2023-08-09
503.63,2023-08-09
540.02,2023-08-09
520.44,2023-08-09
557.15,2023-08-09
595.88,2023-08-09
497.4,2023-08-09
601.35,2023-08-09
514.17,2023-08-09
475.9,2023-08-09
-,2023-08-09
556.4,2023-08-09
618.59,2023-08-09
479.9,2023-08-09
601.15,2023-08-09
571.75,2023-08-09
502.59,2023-08-09
553.57,2023-08-09
513.08,2023-08-09
570.36,2023-08-09
600.64,2023-08-09
583.75,2023-08-09
617.26,2023-08-09
593.74,2023-08-09
481.0,2023-08-09
503.18,2023-08-09
505.57,2023-08-09
635.42,2023-08-09
510.2,2023-08-09
527.57,2023-08-09
479.52,2023-08-09
550.0,2023-08-09
550.88,2023-08-09
603.88,2023-08-09
578.9,2023-08-09
513.72,2023-08-09
593.35,2023-08-09
595.94,2023-08-09
497.22,2023-08-09
504.58,2023-08-09
630.26,2023-08-09
602.92,2023-08-09
551.78,2023-08-09
530.89,2023-08-09
548.09,2023-08-09
487.46,2023-08-09
580.22,2023-08-09
535.52,2023-08-09
588.31,2023-08-09
504.37,2023-08-09
590.76,2023-08-09
610.83,2023-08-09
541.02,2023-08-09
582.08,2023-08-09
593.17,2023-08-09
512.59,2023-08-09
605.22,2023-08-09
576.14,2023-08-09
513.55,2023-08-09
562.47,2023-08-09
617.7,2023-08-09
508.49,2023-08-09
594.41,2023-08-09
510.47,2023-08-09
628.82,2023-08-09
561.38,2023-08-09
639.96,2023-08-09
593.16,2023-08-09
552.81,2023-08-09
554.6,2023-08-09
611.96,2023-08-09
583.86,2023-08-09
543.31,2023-08-09
560.05,2023-08-09
478.81,2023-08-09
609.39,2023-08-09
603.84,2023-08-09
508.94,2023-08-09
502.08,2023-08-09
483.68,2023-08-09
486.64,2023-08-09
568.7,2023-08-09
604.53,2023-08-09
490.28,2023-08-09
605.2,2023-08-09
482.71,2023-08-09
564.08,2023-08-09
534.18,2023-08-09
542.23,2023-08-09
502.72,2023-08-09
618.45,2023-08-09
483.81,2023-08-09
521.02,2023-08-09
526.33,2023-08-09
617.77,2023-08-09
606.95,2023-08-09
586.73,2023-08-09
490.49,2023-08-09
526.89,2023-08-09
490.99,2023-08-09
618.19,2023-08-09
576.04,2023-08-09
570.49,2023-08-09
608.27,2023-08-09
515.75,2023-08-09
574.23,2023-08-09
490.82,2023-08-09
508.04,2023-08-09
591.16,2023-08-09
600.72,2023-08-09
520.92,2023-08-09
488.1,2023-08-09
521.08,2023-08-09
491.36,2023-08-09
534.51,2023-08-09
580.19,2023-08-09
526.04,2023-08-09
571.01,2023-08-09
578.4,2023-08-09
484.41,2023-08-09
513.26,2023-08-09
599.0,2023-08-09
557.06,2023-08-09
569.06,2023-08-09
546.02,2023-08-09
626.48,2023-08-09
593.79,2023-08-09
532.48,2023-08-09
583.69,2023-08-09
628.82,2023-08-09
638.07,2023-08-09
593.22,2023-08-09
593.73,2023-08-09
488.91,2023-08-09
589.42,2023-08-09
621.05,2023-08-09
519.3,2023-08-09
568.27,2023-08-09
498.63,2023-08-09
508.83,2023-08-09
553.33,2023-08-09
525.92,2023-08-09
527.27,2023-08-09
593.15,2023-08-09
519.78,2023-08-09
490.08,2023-08-09
515.65,2023-08-09
586.68,2023-08-09
579.49,2023-08-09
557.73,2023-08-09
599.51,2023-08-09
579.66,2023-08-09
476.45,2023-08-09
476.26,2023-08-09
478.26,2023-08-09
595.19,2023-08-09
528.8,2023-08-09
579.78,2023-08-09
602.68,2023-08-09
479.82,2023-08-09
614.65,2023-08-09
533.99,2023-08-09
631.32,2023-08-09
581.55,2023-08-09
496.67,2023-08-09
633.36,2023-08-09
560.6,2023-08-09
612.1,2023-08-09
618.55,2023-08-09
607.82,2023-08-09
510.51,2023-08-09
609.54,2023-08-09
503.54,2023-08-09
536.29,2023-08-09
500.21,2023-08-09
585.43,2023-08-09
573.27,2023-08-09
602.65,2023-08-09
484.37,2023-08-09
629.29,2023-08-09
632.02,2023-08-09
534.42,2023-08-09
571.7,2023-08-09
486.55,2023-08-09
524.88,2023-08-09
524.33,2023-08-09
581.74,2023-08-09
578.04,2023-08-09
521.82,2023-08-09
630.78,2024-02-18
481.71,2024-02-18
618.66,2024-02-18
547.33,2024-02-18
580.41,2024-02-18
599.42,2024-02-18
507.7,2024-02-18
581.41,2024-02-18
520.18,2024-02-18
488.96,2024-02-18
498.2,2024-02-18
616.58,2024-02-18
587.99,2024-02-18
635.06,2024-02-18
500.29,2024-02-18
596.21,2024-02-18
625.3,2024-02-18
632.64,2024-02-18
569.16,2024-02-18
625.8,2024-02-18
599.76,2024-02-18
475.85,2024-02-18
594.99,2024-02-18
491.79,2024-02-18
479.0,2024-02-18
515.45,2024-02-18
593.79,2024-02-18
561.56,2024-02-18
592.37,2024-02-18
499.99,2024-02-18
600.91,2024-02-18
577.74,2024-02-18
589.96,2024-02-18
599.66,2024-02-18
541.32,2024-02-18
610.4,2024-02-18
630.17,2024-02-18
535.69,2024-02-18
616.34,2024-02-18
503.95,2024-02-18
534.3,2024-02-18
608.51,2024-02-18
497.0,2024-02-18
595.22,2024-02-18
574.2,2024-02-18
519.55,2024-02-18
596.5,2024-02-18
586.45,2024-02-18
489.06,2024-02-18
506.05,2024-02-18
603.72,2024-02-18
478.45,2024-02-18
568.22,2024-02-18
559.62,2024-02-18
599.01,2024-02-18
557.5,2024-02-18
544.26,2024-02-18
522.84,2024-02-18
576.81,2024-02-18
627.03,2024-02-18
561.67,2024-02-18
623.23,2024-02-18
549.41,2024-02-18
583.77,2024-02-18
630.94,2024-02-18
526.83,2024-02-18
510.75,2024-02-18
522.64,2024-02-18
597.23,2024-02-18
591.49,2024-02-18
584.23,2024-02-18
611.98,2024-02-18
608.64,2024-02-18
566.57,2024-02-18
498.92,2024-02-18
610.12,2024-02-18
624.89,2024-02-18
525.66,2024-02-18
612.01,2024-02-18
559.3,2024-02-18
526.05,2024-02-18
511.37,2024-02-18
526.76,2024-02-18
637.67,2024-02-18
512.57,2024-02-18
639.46,2024-02-18
547.4,2024-02-18
613.41,2024-02-18
585.86,2024-02-18
608.06,2024-02-18
637.46,2024-02-18
537.77,2024-02-18
583.53,2024-02-18
496.35,2024-02-18
524.36,2024-02-18
541.04,2024-02-18
631.72,2024-02-18
527.09,2024-02-18
562.78,2024-02-18
502.46,2024-02-18
512.89,2024-02-18
486.77,2024-02-18
501.43,2024-02-18
480.96,2024-02-18
487.6,2024-02-18
496.97,2024-02-18
523.0,2024-02-18
