Intake Pressure,Maintenance Date
713.6,2024-02-09
699.58,2024-02-09
630.69,2024-02-09
682.75,2024-02-09
691.77,2024-02-09
685.39,2024-02-09
695.75,2024-02-09
683.97,2024-02-09
685.04,2024-02-09
625.29,2024-02-09
606.91,2024-02-09
600.06,2024-02-09
644.26,2024-02-09
650.57,2024-02-22
581.29,2024-02-22
614.0,2024-02-22
673.11,2024-02-22
615.97,2024-02-22
661.4,2024-02-22
669.96,2024-02-22
707.42,2024-02-22
645.44,2024-02-22
607.95,2024-02-22
658.47,2024-02-22
658.4,2024-02-22
680.85,2024-02-22
606.1,2024-02-22
570.25,2024-02-22
649.74,2024-02-22
620.8,2024-02-22
632.77,2024-02-22
564.56,2024-02-22
550.56,2024-02-22
569.84,2024-02-22
569.48,2024-02-22
647.1,2024-02-22
596.22,2024-02-22
585.97,2024-02-22
551.1,2024-02-22
626.17,2024-02-22
674.69,2024-04-02
641.89,2024-04-02
564.43,2024-04-02
694.12,2024-04-02
573.37,2024-04-02
657.82,2024-04-02
607.29,2024-04-02
691.68,2024-04-02
598.47,2024-04-02
573.63,2024-04-02
658.35,2024-04-02
596.23,2024-04-02
613.09,2024-04-02
651.66,2024-04-02
586.9,2024-04-02
697.69,2024-04-02
664.75,2024-04-02
708.92,2024-04-02
710.91,2024-05-30
660.52,2024-05-30
668.73,2024-05-30
681.07,2024-05-30
708.65,2024-05-30
559.74,2024-05-30
580.3,2024-05-30
624.07,2024-05-30
666.58,2024-05-30
677.86,2024-05-30
558.2,2024-05-30
655.55,2024-05-30
583.26,2024-05-30
683.92,2024-05-30
612.68,2024-05-30
591.54,2024-05-30
636.58,2024-05-30
628.4,2024-05-30
633.65,2024-05-30
624.32,2024-05-30
615.22,2024-05-30
709.3,2024-08-17
602.4,2024-08-17
659.38,2024-08-17
615.47,2024-08-17
648.78,2024-08-17
675.42,2024-08-17
551.42,2024-08-17
646.8,2024-08-17
636.72,2024-08-17
556.68,2024-08-17
666.65,2024-08-17
569.5,2024-08-17
693.91,2024-08-17
631.48,2024-08-17
683.56,2024-08-17
678.36,2024-08-17
694.96,2024-11-20
677.77,2024-11-20
578.09,2024-11-20
710.43,2024-11-20
694.38,2024-11-20
626.39,2024-11-20
698.01,2024-11-20
629.81,2024-11-20
678.43,2024-11-20
634.98,2025-03-04
683.39,2025-03-04
595.38,2025-03-04
645.28,2025-03-04
571.93,2025-03-04
655.43,2025-03-04
562.35,2025-03-04
692.42,2025-03-04
564.6,2025-03-04
655.2,2025-03-04
565.48,2025-03-04
596.09,2025-03-04
701.78,2025-03-04
660.6,2025-03-04
709.6,2025-03-04
646.71,2025-07-01
573.1,2025-07-01
552.05,2025-07-01
