Intake Pressure,Maintenance Date
568.58,2023-06-27
656.77,2023-06-27
557.39,2023-06-27
536.97,2023-06-27
658.24,2023-06-27
552.13,2023-06-27
559.85,2023-06-27
515.99,2023-06-27
511.76,2023-06-27
561.68,2023-06-27
628.54,2023-06-27
662.61,2023-06-27
520.97,2023-06-27
565.76,2023-06-27
629.93,2023-06-27
577.42,2023-06-27
576.59,2023-06-27
606.18,2023-06-27
598.12,2023-06-27
543.34,2023-06-27
552.3,2023-06-27
554.54,2023-06-27
576.86,2023-06-27
521.28,2023-06-27
651.49,2023-06-27
645.09,2023-06-27
566.65,2023-06-27
562.11,2023-06-27
588.59,2023-06-27
574.21,2023-06-27
581.6,2023-06-27
648.54,2023-06-27
564.14,2023-06-27
643.74,2023-06-27
581.62,2023-06-27
630.67,2023-06-27
652.06,2023-06-27
612.9,2023-06-27
649.85,2023-06-27
660.97,2023-06-27
567.29,2023-06-27
590.34,2023-06-27
662.83,2023-06-27
583.13,2023-06-27
610.57,2023-06-27
522.17,2023-06-27
653.96,2023-08-12
503.62,2023-08-12
626.92,2023-08-12
552.54,2023-08-12
533.78,2023-08-12
589.35,2023-08-12
591.09,2023-08-12
506.81,2023-08-12
511.96,2023-08-12
607.25,2023-08-12
533.82,2023-08-12
662.98,2023-08-12
537.11,2023-08-12
552.15,2023-08-12
662.33,2023-08-12
524.03,2023-08-12
520.98,2023-08-12
551.09,2023-08-12
620.64,2023-08-12
594.21,2023-08-12
639.73,2023-08-12
585.76,2023-08-12
592.57,2023-08-12
577.0,2023-08-12
516.36,2023-08-12
613.01,2023-08-12
664.43,2023-08-12
507.97,2023-08-12
514.29,2023-08-12
638.41,2023-08-12
566.41,2023-08-12
664.41,2023-08-12
540.86,2023-08-12
593.79,2023-08-12
643.31,2023-08-12
623.42,2023-08-12
592.22,2023-08-12
586.9,2023-08-12
664.51,2023-08-12
641.21,2023-08-12
504.04,2023-08-12
558.27,2023-08-12
548.72,2023-08-12
517.79,2023-08-12
506.83,2023-08-12
500.01,2023-08-12
531.5,2023-08-12
618.65,2023-08-12
525.12,2023-08-12
647.15,2023-11-15
645.61,2023-11-15
658.92,2023-11-15
606.24,2023-11-15
558.34,2023-11-15
655.48,2023-11-15
588.35,2023-11-15
620.92,2023-11-15
531.11,2023-11-15
509.26,2023-11-15
648.52,2023-11-15
564.83,2023-11-15
620.32,2023-11-15
572.95,2023-11-15
617.29,2023-11-15
560.67,2023-11-15
629.09,2023-11-15
571.46,2023-11-15
567.62,2023-11-15
589.11,2023-11-15
626.86,2023-11-15
566.0,2023-11-15
-,2023-11-15
531.6,2023-11-15
643.84,2023-11-15
659.16,2023-11-15
577.62,2023-11-15
660.61,2023-11-15
550.77,2023-11-15
581.35,2023-11-15
531.84,2023-11-15
581.48,2023-11-15
586.54,2023-11-15
576.83,2023-11-15
559.63,2023-11-15
585.26,2023-11-15
658.59,2023-11-15
562.39,2023-11-15
604.06,2023-11-15
620.24,2023-11-15
515.31,2023-11-15
520.26,2023-11-15
603.12,2023-11-15
517.89,2023-11-15
546.49,2023-11-15
658.41,2023-11-15
612.31,2023-11-15
591.47,2023-11-15
562.14,2023-11-15
601.24,2023-11-15
570.87,2023-11-15
585.98,2023-11-15
580.13,2023-11-15
504.74,2023-11-15
577.29,2023-11-15
572.95,2023-11-15
607.63,2023-11-15
646.34,2023-11-15
517.17,2023-11-15
591.4,2023-11-15
534.73,2023-11-15
639.66,2024-04-19
634.18,2024-04-19
540.49,2024-04-19
632.82,2024-04-19
567.1,2024-04-19
581.05,2024-04-19
516.25,2024-04-19
598.69,2024-04-19
517.26,2024-04-19
582.55,2024-04-19
611.78,2024-04-19
610.74,2024-04-19
566.51,2024-04-19
503.04,2024-04-19
569.31,2024-04-19
583.41,2024-04-19
658.2,2024-04-19
567.33,2024-04-19
525.31,2024-04-19
534.05,2024-04-19
604.32,2024-04-19
511.29,2024-04-19
571.94,2024-04-19
654.96,2024-04-19
514.6,2024-04-19
581.32,2024-04-19
520.91,2024-04-19
614.91,2024-04-19
570.25,2024-04-19
610.92,2024-04-19
628.02,2024-04-19
599.04,2024-04-19
655.42,2024-04-19
543.06,2024-04-19
525.83,2024-04-19
644.7,2024-04-19
542.27,2024-04-19
628.02,2024-04-19
529.21,2024-04-19
507.45,2024-04-19
597.06,2024-04-19
565.5,2024-04-19
636.73,2024-04-19
530.2,2024-04-19
508.07,2024-04-19
632.91,2024-04-19
534.58,2024-04-19
549.74,2024-04-19
627.34,2024-04-19
555.14,2024-04-19
516.78,2024-04-19
502.33,2024-04-19
539.9,2024-04-19
565.76,2024-04-19
558.97,2024-04-19
584.94,2024-04-19
583.06,2024-04-19
540.19,2024-04-19
579.73,2024-04-19
504.95,2024-04-19
651.31,2024-11-21
580.03,2024-11-21
539.8,2024-11-21
540.51,2024-11-21
606.43,2024-11-21
642.56,2024-11-21
584.39,2024-11-21
522.49,2024-11-21
522.01,2024-11-21
630.92,2024-11-21
659.32,2024-11-21
578.23,2024-11-21
590.68,2024-11-21
610.38,2024-11-21
508.21,2024-11-21
623.05,2024-11-21
602.85,2024-11-21
578.69,2024-11-21
601.99,2024-11-21
525.49,2024-11-21
593.48,2024-11-21
657.75,2024-11-21
567.84,2024-11-21
593.63,2024-11-21
557.41,2024-11-21
663.03,2024-11-21
554.37,2024-11-21
586.93,2024-11-21
502.75,2024-11-21
606.08,2024-11-21
551.08,2024-11-21
604.75,2024-11-21
562.9,2024-11-21
521.7,2024-11-21
514.42,2024-11-21
515.24,2024-11-21
562.56,2024-11-21
617.1,2024-11-21
591.59,2024-11-21
561.66,2024-11-21
586.94,2024-11-21
609.77,2024-11-21
585.33,2024-11-21
555.01,2024-11-21
575.19,2024-11-21
552.25,2024-11-21
547.56,2024-11-21
660.01,2024-11-21
559.63,2024-11-21
600.47,2024-11-21
611.69,2024-11-21
509.52,2024-11-21
622.39,2024-11-21
609.84,2024-11-21
657.59,2024-11-21
639.99,2024-11-21
598.53,2024-11-21
568.57,2024-11-21
586.78,2024-11-21
633.96,2024-11-21
623.89,2024-11-21
564.07,2024-11-21
610.97,2024-11-21
542.4,2024-11-21
519.96,2024-11-21
525.14,2024-11-21
510.43,2024-11-21
593.61,2024-11-21
544.17,2024-11-21
570.35,2024-11-21
523.79,2024-11-21
557.72,2024-11-21
620.47,2024-11-21
515.27,2024-11-21
664.8,2024-11-21
530.64,2024-11-21
617.7,2024-11-21
554.0,2024-11-21
504.81,2024-11-21
522.97,2024-11-21
513.14,2024-11-21
597.06,2024-11-21
546.07,2024-11-21
534.2,2024-11-21
