Intake Pressure,Maintenance Date
570.54,2024-02-05
597.16,2024-02-05
504.26,2024-02-05
536.44,2024-02-05
536.88,2024-02-05
521.75,2024-02-05
551.67,2024-02-05
545.25,2024-02-05
563.81,2024-02-05
572.84,2024-02-05
569.26,2024-02-05
537.71,2024-02-05
548.54,2024-02-05
553.64,2024-02-05
559.42,2024-02-05
632.62,2024-02-05
638.45,2024-02-05
487.73,2024-02-05
509.13,2024-02-05
541.24,2024-02-05
553.76,2024-02-05
622.45,2024-02-05
535.14,2024-02-05
610.12,2024-02-05
624.05,2024-02-05
590.0,2024-02-05
639.44,2024-02-05
504.1,2024-02-05
554.58,2024-02-05
587.7,2024-02-05
493.32,2024-02-05
546.31,2024-02-05
578.12,2024-02-05
558.1,2024-02-05
623.19,2024-02-05
566.76,2024-02-05
546.5,2024-02-05
483.05,2024-02-05
540.39,2024-02-05
553.71,2024-02-05
607.38,2024-02-05
489.58,2024-02-05
627.31,2024-02-05
541.52,2024-02-05
596.13,2024-02-05
518.21,2024-02-05
601.77,2024-02-05
605.57,2024-02-05
583.24,2024-02-05
593.3,2024-02-05
519.96,2024-02-05
615.22,2024-02-05
629.19,2024-02-05
622.49,2024-02-05
573.18,2024-02-05
540.87,2024-02-05
556.26,2024-02-05
553.24,2024-02-05
585.61,2024-02-05
510.18,2024-02-05
605.12,2024-02-05
506.74,2024-02-05
502.43,2024-02-05
497.27,2024-02-05
636.39,2024-02-05
635.4,2024-02-05
546.15,2024-02-05
482.83,2024-02-05
568.48,2024-02-05
592.64,2024-02-05
601.27,2024-02-05
554.74,2024-02-05
520.64,2024-02-05
631.24,2024-02-05
626.29,2024-02-05
565.23,2024-02-05
635.89,2024-02-05
531.36,2024-02-05
560.87,2024-02-05
568.46,2024-02-05
614.89,2024-02-05
593.78,2024-02-05
511.67,2024-02-05
565.89,2024-02-05
580.47,2024-02-05
580.95,2024-02-05
515.38,2024-02-05
574.62,2024-02-05
539.64,2024-02-05
592.95,2024-02-05
541.57,2024-02-05
550.59,2024-02-05
534.15,2024-02-05
515.06,2024-02-05
483.42,2024-02-05
545.66,2024-02-05
609.14,2024-02-05
605.16,2024-02-05
618.2,2024-02-05
492.46,2024-02-05
554.39,2024-02-05
593.48,2024-02-05
496.16,2024-02-05
529.15,2024-02-05
539.83,2024-02-05
605.63,2024-02-05
590.82,2024-02-05
589.43,2024-02-05
594.71,2024-02-05
514.37,2024-02-05
549.64,2024-02-05
531.88,2024-02-05
594.2,2024-02-05
582.12,2024-02-05
549.62,2024-02-05
604.03,2024-02-05
490.93,2024-02-05
512.87,2024-02-05
639.58,2024-02-05
577.91,2024-02-05
498.64,2024-02-05
565.89,2024-02-05
602.22,2024-02-05
606.22,2024-02-05
614.96,2024-02-05
615.18,2024-02-05
626.18,2024-02-05
621.19,2024-02-05
572.3,2024-02-05
556.27,2024-02-05
505.5,2024-02-05
596.36,2024-02-05
499.41,2024-02-05
597.97,2024-02-05
542.27,2024-02-05
497.91,2024-02-05
547.06,2024-02-05
523.73,2024-02-05
568.66,2024-02-05
562.27,2024-02-05
537.13,2024-02-05
569.69,2024-02-05
612.68,2024-02-05
520.92,2024-02-05
496.99,2024-02-05
499.32,2024-02-05
512.8,2024-02-05
497.58,2024-02-05
485.05,2024-02-05
608.57,2024-02-05
537.75,2024-02-05
507.01,2024-02-05
525.96,2024-02-05
518.89,2024-02-05
571.37,2024-02-05
570.48,2024-02-05
618.16,2024-02-05
601.97,2024-02-05
493.15,2024-02-05
585.98,2024-02-05
613.69,2024-02-05
575.25,2024-02-05
567.01,2024-02-05
544.67,2024-02-05
486.72,2024-02-05
517.9,2024-02-05
604.36,2024-02-05
613.86,2024-02-05
632.93,2024-02-05
639.93,2024-07-23
553.28,2024-07-23
550.83,2024-07-23
546.69,2024-07-23
541.51,2024-07-23
486.91,2024-07-23
635.95,2024-07-23
548.98,2024-07-23
490.88,2024-07-23
597.31,2024-07-23
535.07,2024-07-23
573.57,2024-07-23
524.34,2024-07-23
532.73,2024-07-23
590.68,2024-07-23
524.89,2024-07-23
533.42,2024-07-23
598.67,2024-07-23
574.07,2024-07-23
521.56,2024-07-23
590.19,2024-07-23
485.08,2024-07-23
602.81,2024-07-23
579.68,2024-07-23
544.47,2024-07-23
608.16,2024-07-23
638.3,2024-07-23
498.61,2024-07-23
554.06,2024-07-23
577.3,2024-07-23
485.59,2024-07-23
499.85,2024-07-23
540.65,2024-07-23
539.09,2024-07-23
626.34,2024-07-23
575.3,2024-07-23
552.37,2024-07-23
611.08,2024-07-23
476.39,2024-07-23
611.94,2024-07-23
498.32,2024-07-23
598.07,2024-07-23
582.67,2024-07-23
551.89,2024-07-23
507.37,2024-07-23
561.06,2024-07-23
529.84,2024-07-23
484.02,2024-07-23
573.43,2024-07-23
635.76,2024-07-23
552.86,2024-07-23
520.96,2024-07-23
553.9,2024-07-23
574.72,2024-07-23
608.46,2024-07-23
536.27,2024-07-23
494.51,2024-07-23
491.4,2024-07-23
499.35,2024-07-23
628.52,2024-07-23
510.77,2024-07-23
616.19,2024-07-23
509.67,2024-07-23
511.21,2024-07-23
529.15,2024-07-23
610.89,2024-07-23
613.47,2024-07-23
526.12,2024-07-23
605.47,2024-07-23
536.77,2024-07-23
508.81,2024-07-23
527.51,2024-07-23
596.12,2024-07-23
611.13,2024-07-23
497.73,2024-07-23
486.73,2024-07-23
638.48,2024-07-23
563.98,2024-07-23
476.85,2024-07-23
547.35,2024-07-23
546.75,2024-07-23
618.71,2024-07-23
505.63,2024-07-23
493.03,2024-07-23
533.37,2024-07-23
577.97,2024-07-23
557.11,2024-07-23
595.98,2024-07-23
509.4,2024-07-23
565.32,2024-07-23
584.19,2024-07-23
512.44,2024-07-23
508.29,2024-07-23
594.62,2024-07-23
508.93,2024-07-23
542.92,2024-07-23
518.98,2024-07-23
485.87,2024-07-23
573.6,2024-07-23
562.8,2024-07-23
573.95,2024-07-23
482.52,2024-07-23
528.76,2024-07-23
600.31,2024-07-23
625.4,2024-07-23
